state,hospitals,avg_satisfaction,avg_er_wait_min,avg_readmission_rate,avg_ami_mortality,pct_high_readmission,median_income_k,poverty_rate_pct
NE,93,77.32,118.5,16.35,12.07,21.5,69.2,9.1
WI,141,76.28,135.6,16.31,12.04,23.4,68.9,9.7
KS,138,76.19,122.6,16.3,12.13,29.7,63.9,10.5
IA,118,75.94,127.1,16.27,12.13,27.1,67.5,9.6
UT,52,75.91,132.8,15.95,11.88,1.9,81.5,7.4
SD,61,75.73,114.9,16.26,12.06,13.1,60.0,11.0
LA,161,75.58,135.2,16.45,12.2,24.2,54.2,18.0
ND,47,75.45,114.3,16.25,12.05,14.9,66.9,9.2
ID,48,75.33,131.1,16.1,12.06,8.3,60.8,10.6
MN,136,75.27,134.2,16.29,12.01,21.3,79.5,8.3
ME,36,75.14,163.2,16.13,12.37,13.9,64.9,10.2
WY,30,74.81,127.7,16.18,12.08,6.7,67.2,9.9
MS,108,74.69,133.5,16.54,12.43,38.0,47.4,19.0
WV,55,74.53,145.8,16.53,12.23,40.0,49.8,16.3
NH,28,74.33,165.5,16.32,11.98,39.3,91.4,6.3
CO,97,74.25,138.4,16.14,11.85,14.4,79.4,8.7
OK,135,74.24,122.7,16.33,12.22,20.7,57.5,14.8
TX,468,74.14,145.8,16.42,12.15,27.6,68.7,13.6
AR,91,74.08,135.5,16.46,12.26,35.2,52.0,16.2
VT,17,74.06,175.1,16.29,12.16,23.5,68.2,9.9
MT,63,73.94,120.4,16.23,12.1,12.7,59.1,11.5
OR,62,73.86,159.6,16.07,12.33,17.7,71.6,9.8
KY,103,73.68,147.2,16.49,12.27,40.8,54.2,15.5
AL,100,73.5,152.6,16.46,12.31,35.0,54.9,15.8
AK,25,73.42,133.9,16.35,12.2,12.0,82.4,10.1
VA,96,73.3,164.9,16.32,12.01,36.5,82.7,8.7
OH,196,73.22,161.0,16.47,12.04,36.2,59.8,12.9
SC,66,73.18,162.3,16.4,12.26,36.4,60.2,14.1
GA,149,72.88,168.9,16.48,12.22,39.6,64.0,13.7
IN,151,72.87,149.3,16.38,12.2,28.5,60.3,11.8
NC,120,72.83,183.2,16.29,12.24,35.0,62.7,13.4
TN,122,72.81,161.8,16.41,12.27,32.0,57.1,13.9
MO,121,72.7,159.6,16.42,12.1,36.4,59.3,12.4
HI,24,72.57,119.0,16.29,12.07,12.5,85.4,9.1
PA,187,72.5,185.6,16.4,12.05,36.9,65.3,11.2
IL,194,72.21,175.5,16.55,12.01,47.9,70.6,11.4
WA,100,71.97,171.7,16.12,12.32,16.0,85.0,8.9
RI,13,71.96,220.5,16.37,11.93,15.4,73.2,9.5
MI,148,71.51,160.5,16.39,12.18,32.4,65.2,13.1
NM,45,71.4,168.3,16.26,12.08,20.0,52.9,18.0
MA,84,71.1,221.9,16.79,11.9,47.6,86.7,8.8
AZ,107,70.75,181.6,16.41,12.2,28.0,68.1,12.9
NV,46,70.56,147.7,16.55,12.16,34.8,67.6,11.5
FL,221,70.24,154.0,16.67,12.1,51.6,61.8,12.4
DE,13,70.21,219.7,16.07,12.22,7.7,74.2,9.8
CT,36,70.21,196.6,16.44,11.93,36.1,86.2,9.1
MD,56,69.56,245.0,16.16,11.96,25.0,92.8,7.4
CA,378,69.54,183.4,16.58,11.98,44.2,85.3,11.8
NY,191,69.38,200.4,16.54,11.91,42.9,74.3,12.4
NJ,79,68.88,186.6,16.74,12.07,58.2,87.2,8.6
DC,10,67.21,330.0,16.28,11.53,10.0,93.5,15.2
